数据趋势概况(2026.03.07-2026.04.05),,,,数据趋势概况(2026.03.07-2026.04.05),,,,,,数据来源概况(2026.03.07-2026.04.05),,,,
日期,渠道,阅读人数,,日期,分享人数,跳转阅读原文人数,微信收藏人数,发表篇数,,传播渠道,发表日期,内容标题,阅读人数,阅读人数占比
2026-03-07,公众号消息,0,,2026-03-07,0,0,0,0,,全部,20260331,具身智能情报前沿｜2026.03.31,134,0.069466002
2026-03-07,聊天会话,0,,2026-03-08,0,0,0,0,,全部,20260325,具身智能情报前沿｜2026.03.25,125,0.064800002
2026-03-07,朋友圈,0,,2026-03-09,0,0,0,0,,全部,20260324,具身智能情报前沿｜2026.03.24,117,0.060653001
2026-03-07,公众号主页,0,,2026-03-10,0,0,0,0,,全部,20260401,具身智能情报前沿｜2026.04.01,111,0.057542998
2026-03-07,其他,0,,2026-03-11,0,0,0,0,,全部,20260402,具身智能情报前沿｜2026.04.02,105,0.054432001
2026-03-07,推荐,0,,2026-03-12,0,0,0,0,,全部,20260321,具身智能情报前沿｜2026.03.21,103,0.053396001
2026-03-07,搜一搜,0,,2026-03-13,0,0,0,0,,全部,20260320,具身智能情报前沿｜2026.03.20,102,0.052877001
2026-03-07,全部,0,,2026-03-14,1,0,0,1,,全部,20260316,具身智能情报前沿｜2026.03.16,99,0.051321998
2026-03-08,公众号消息,0,,2026-03-15,1,0,0,1,,全部,20260327,具身智能情报前沿｜2026.03.27,91,0.047175001
2026-03-08,聊天会话,0,,2026-03-16,2,0,0,1,,推荐,20260324,具身智能情报前沿｜2026.03.24,88,0.074894004
2026-03-08,朋友圈,0,,2026-03-17,7,0,0,1,,全部,20260329,具身智能情报前沿｜2026.03.29,88,0.045619
2026-03-08,公众号主页,0,,2026-03-18,5,0,0,1,,全部,20260404,具身智能情报前沿｜2026.04.04,87,0.045101002
2026-03-08,其他,0,,2026-03-19,7,0,0,1,,全部,20260322,具身智能情报前沿｜2026.03.22,84,0.043545999
2026-03-08,推荐,0,,2026-03-20,5,0,0,1,,全部,20260403,具身智能情报前沿｜2026.04.03,84,0.043545999
2026-03-08,搜一搜,0,,2026-03-21,2,0,1,1,,推荐,20260320,具身智能情报前沿｜2026.03.20,83,0.070638001
2026-03-08,全部,0,,2026-03-22,5,0,1,1,,全部,20260330,具身智能情报前沿｜2026.03.30,83,0.043026999
2026-03-09,公众号消息,0,,2026-03-23,0,0,0,1,,全部,20260405,具身智能情报前沿｜2026.04.05,83,0.043026999
2026-03-09,聊天会话,0,,2026-03-24,2,0,1,1,,全部,20260317,具身智能情报前沿｜2026.03.17,79,0.040954001
2026-03-09,朋友圈,0,,2026-03-25,12,0,1,1,,推荐,20260331,具身智能情报前沿｜2026.03.31,78,0.066382997
2026-03-09,公众号主页,0,,2026-03-26,2,0,0,1,,推荐,20260402,具身智能情报前沿｜2026.04.02,78,0.066382997
2026-03-09,其他,0,,2026-03-27,3,0,2,1,,全部,20260326,具身智能情报前沿｜2026.03.26,78,0.040435001
2026-03-09,推荐,0,,2026-03-28,3,0,1,1,,推荐,20260325,具身智能情报前沿｜2026.03.25,77,0.065531999
2026-03-09,搜一搜,0,,2026-03-29,6,0,0,1,,全部,20260328,具身智能情报前沿｜2026.03.28,77,0.039917
2026-03-09,全部,0,,2026-03-30,6,0,0,1,,推荐,20260401,具身智能情报前沿｜2026.04.01,76,0.064681001
2026-03-10,公众号消息,0,,2026-03-31,8,0,4,1,,推荐,20260321,具身智能情报前沿｜2026.03.21,71,0.060426001
2026-03-10,聊天会话,0,,2026-04-01,6,0,0,1,,推荐,20260404,具身智能情报前沿｜2026.04.04,71,0.060426001
2026-03-10,朋友圈,0,,2026-04-02,3,0,1,1,,推荐,20260405,具身智能情报前沿｜2026.04.05,70,0.059574001
2026-03-10,公众号主页,0,,2026-04-03,5,0,0,1,,推荐,20260330,具身智能情报前沿｜2026.03.30,66,0.056170002
2026-03-10,其他,0,,2026-04-04,4,0,2,1,,推荐,20260329,具身智能情报前沿｜2026.03.29,63,0.053617001
2026-03-10,推荐,0,,2026-04-05,2,0,0,1,,推荐,20260328,具身智能情报前沿｜2026.03.28,59,0.050213002
2026-03-10,搜一搜,0,,,,,,,,全部,20260318,具身智能情报前沿｜2026.03.18,59,0.030586001
2026-03-10,全部,0,,,,,,,,推荐,20260316,具身智能情报前沿｜2026.03.16,56,0.047660001
2026-03-11,公众号消息,0,,,,,,,,推荐,20260327,具身智能情报前沿｜2026.03.27,54,0.045956999
2026-03-11,聊天会话,0,,,,,,,,推荐,20260403,具身智能情报前沿｜2026.04.03,54,0.045956999
2026-03-11,朋友圈,0,,,,,,,,推荐,20260322,具身智能情报前沿｜2026.03.22,53,0.045106001
2026-03-11,公众号主页,0,,,,,,,,全部,20260315,具身智能情报前沿｜2026.03.15,49,0.025402
2026-03-11,其他,0,,,,,,,,搜一搜,20260317,具身智能情报前沿｜2026.03.17,43,0.125731006
2026-03-11,推荐,0,,,,,,,,推荐,20260326,具身智能情报前沿｜2026.03.26,37,0.031489
2026-03-11,搜一搜,0,,,,,,,,搜一搜,20260315,具身智能情报前沿｜2026.03.15,35,0.102339
2026-03-11,全部,0,,,,,,,,全部,20260323,具身智能情报前沿｜2026.03.23,35,0.018144
2026-03-12,公众号消息,0,,,,,,,,朋友圈,20260331,具身智能情报前沿｜2026.03.31,31,0.837837994
2026-03-12,聊天会话,0,,,,,,,,全部,20260319,具身智能情报前沿｜2026.03.19,30,0.015552
2026-03-12,朋友圈,0,,,,,,,,全部,20260314,具身智能情报前沿 | 2026.03.14,26,0.013478
2026-03-12,公众号主页,0,,,,,,,,搜一搜,20260326,具身智能情报前沿｜2026.03.26,23,0.067250997
2026-03-12,其他,0,,,,,,,,推荐,20260317,具身智能情报前沿｜2026.03.17,22,0.018723
2026-03-12,推荐,0,,,,,,,,搜一搜,20260318,具身智能情报前沿｜2026.03.18,22,0.064327002
2026-03-12,搜一搜,0,,,,,,,,搜一搜,20260325,具身智能情报前沿｜2026.03.25,22,0.064327002
2026-03-12,全部,0,,,,,,,,搜一搜,20260316,具身智能情报前沿｜2026.03.16,21,0.061404001
2026-03-13,公众号消息,1,,,,,,,,搜一搜,20260327,具身智能情报前沿｜2026.03.27,20,0.058479998
2026-03-13,聊天会话,0,,,,,,,,搜一搜,20260401,具身智能情报前沿｜2026.04.01,19,0.055555999
2026-03-13,朋友圈,0,,,,,,,,公众号消息,20260402,具身智能情报前沿｜2026.04.02,18,0.094737001
2026-03-13,公众号主页,0,,,,,,,,公众号主页,20260316,具身智能情报前沿｜2026.03.16,17,0.089947
2026-03-13,其他,0,,,,,,,,推荐,20260318,具身智能情报前沿｜2026.03.18,17,0.014468
2026-03-13,推荐,0,,,,,,,,公众号消息,20260403,具身智能情报前沿｜2026.04.03,16,0.084210999
2026-03-13,搜一搜,0,,,,,,,,公众号主页,20260315,具身智能情报前沿｜2026.03.15,15,0.079365
2026-03-13,全部,0,,,,,,,,搜一搜,20260321,具身智能情报前沿｜2026.03.21,15,0.04386
2026-03-14,公众号消息,2,,,,,,,,搜一搜,20260323,具身智能情报前沿｜2026.03.23,15,0.04386
2026-03-14,聊天会话,3,,,,,,,,公众号消息,20260326,具身智能情报前沿｜2026.03.26,14,0.073683999
2026-03-14,朋友圈,0,,,,,,,,公众号主页,20260314,具身智能情报前沿 | 2026.03.14,13,0.068783
2026-03-14,公众号主页,0,,,,,,,,公众号主页,20260325,具身智能情报前沿｜2026.03.25,13,0.068783
2026-03-14,其他,0,,,,,,,,公众号消息,20260331,具身智能情报前沿｜2026.03.31,13,0.068420999
2026-03-14,推荐,0,,,,,,,,搜一搜,20260319,具身智能情报前沿｜2026.03.19,12,0.035087999
2026-03-14,搜一搜,3,,,,,,,,聊天会话,20260322,具身智能情报前沿｜2026.03.22,12,0.218181998
2026-03-14,全部,6,,,,,,,,公众号主页,20260324,具身智能情报前沿｜2026.03.24,12,0.063492
2026-03-15,公众号消息,1,,,,,,,,搜一搜,20260329,具身智能情报前沿｜2026.03.29,12,0.035087999
2026-03-15,聊天会话,6,,,,,,,,搜一搜,20260320,具身智能情报前沿｜2026.03.20,11,0.032164
2026-03-15,朋友圈,0,,,,,,,,公众号主页,20260323,具身智能情报前沿｜2026.03.23,11,0.058201
2026-03-15,公众号主页,3,,,,,,,,公众号消息,20260324,具身智能情报前沿｜2026.03.24,11,0.057895001
2026-03-15,其他,1,,,,,,,,搜一搜,20260324,具身智能情报前沿｜2026.03.24,11,0.032164
2026-03-15,推荐,0,,,,,,,,公众号消息,20260401,具身智能情报前沿｜2026.04.01,11,0.057895001
2026-03-15,搜一搜,6,,,,,,,,公众号消息,20260404,具身智能情报前沿｜2026.04.04,11,0.057895001
2026-03-15,全部,12,,,,,,,,公众号主页,20260318,具身智能情报前沿｜2026.03.18,10,0.05291
2026-03-16,公众号消息,4,,,,,,,,公众号主页,20260322,具身智能情报前沿｜2026.03.22,10,0.05291
2026-03-16,聊天会话,3,,,,,,,,公众号消息,20260323,具身智能情报前沿｜2026.03.23,10,0.052632
2026-03-16,朋友圈,0,,,,,,,,公众号主页,20260317,具身智能情报前沿｜2026.03.17,9,0.047619
2026-03-16,公众号主页,5,,,,,,,,公众号主页,20260321,具身智能情报前沿｜2026.03.21,9,0.047619
2026-03-16,其他,0,,,,,,,,搜一搜,20260322,具身智能情报前沿｜2026.03.22,9,0.026316
2026-03-16,推荐,50,,,,,,,,公众号消息,20260327,具身智能情报前沿｜2026.03.27,9,0.047368001
2026-03-16,搜一搜,15,,,,,,,,公众号主页,20260327,具身智能情报前沿｜2026.03.27,9,0.047619
2026-03-16,全部,75,,,,,,,,公众号消息,20260328,具身智能情报前沿｜2026.03.28,9,0.047368001
2026-03-17,公众号消息,3,,,,,,,,公众号消息,20260329,具身智能情报前沿｜2026.03.29,9,0.047368001
2026-03-17,聊天会话,7,,,,,,,,搜一搜,20260331,具身智能情报前沿｜2026.03.31,9,0.026316
2026-03-17,朋友圈,0,,,,,,,,公众号消息,20260321,具身智能情报前沿｜2026.03.21,8,0.042105
2026-03-17,公众号主页,10,,,,,,,,公众号消息,20260325,具身智能情报前沿｜2026.03.25,8,0.042105
2026-03-17,其他,1,,,,,,,,搜一搜,20260330,具身智能情报前沿｜2026.03.30,8,0.023391999
2026-03-17,推荐,26,,,,,,,,公众号主页,20260401,具身智能情报前沿｜2026.04.01,8,0.042328
2026-03-17,搜一搜,37,,,,,,,,搜一搜,20260314,具身智能情报前沿 | 2026.03.14,7,0.020468
2026-03-17,全部,78,,,,,,,,搜一搜,20260405,具身智能情报前沿｜2026.04.05,7,0.020468
2026-03-18,公众号消息,6,,,,,,,,聊天会话,20260314,具身智能情报前沿 | 2026.03.14,6,0.109090999
2026-03-18,聊天会话,2,,,,,,,,公众号消息,20260318,具身智能情报前沿｜2026.03.18,6,0.031578999
2026-03-18,朋友圈,0,,,,,,,,公众号消息,20260319,具身智能情报前沿｜2026.03.19,6,0.031578999
2026-03-18,公众号主页,9,,,,,,,,聊天会话,20260319,具身智能情报前沿｜2026.03.19,6,0.109090999
2026-03-18,其他,2,,,,,,,,公众号主页,20260319,具身智能情报前沿｜2026.03.19,6,0.031746
2026-03-18,推荐,19,,,,,,,,公众号消息,20260322,具身智能情报前沿｜2026.03.22,6,0.031578999
2026-03-18,搜一搜,26,,,,,,,,朋友圈,20260325,具身智能情报前沿｜2026.03.25,6,0.162162006
2026-03-18,全部,62,,,,,,,,公众号主页,20260326,具身智能情报前沿｜2026.03.26,6,0.031746
2026-03-19,公众号消息,6,,,,,,,,公众号主页,20260328,具身智能情报前沿｜2026.03.28,6,0.031746
2026-03-19,聊天会话,7,,,,,,,,公众号消息,20260330,具身智能情报前沿｜2026.03.30,6,0.031578999
2026-03-19,朋友圈,0,,,,,,,,公众号主页,20260331,具身智能情报前沿｜2026.03.31,6,0.031746
2026-03-19,公众号主页,5,,,,,,,,搜一搜,20260402,具身智能情报前沿｜2026.04.02,6,0.017543999
2026-03-19,其他,0,,,,,,,,公众号主页,20260403,具身智能情报前沿｜2026.04.03,6,0.031746
2026-03-19,推荐,0,,,,,,,,聊天会话,20260317,具身智能情报前沿｜2026.03.17,5,0.090908997
2026-03-19,搜一搜,11,,,,,,,,搜一搜,20260328,具身智能情报前沿｜2026.03.28,5,0.01462
2026-03-19,全部,26,,,,,,,,公众号主页,20260330,具身智能情报前沿｜2026.03.30,5,0.026455
2026-03-20,公众号消息,2,,,,,,,,公众号主页,20260402,具身智能情报前沿｜2026.04.02,5,0.026455
2026-03-20,聊天会话,1,,,,,,,,搜一搜,20260403,具身智能情报前沿｜2026.04.03,5,0.01462
2026-03-20,朋友圈,0,,,,,,,,搜一搜,20260404,具身智能情报前沿｜2026.04.04,5,0.01462
2026-03-20,公众号主页,7,,,,,,,,公众号消息,20260405,具身智能情报前沿｜2026.04.05,5,0.026316
2026-03-20,其他,1,,,,,,,,公众号消息,20260316,具身智能情报前沿｜2026.03.16,4,0.021052999
2026-03-20,推荐,85,,,,,,,,聊天会话,20260316,具身智能情报前沿｜2026.03.16,4,0.072727002
2026-03-20,搜一搜,19,,,,,,,,公众号主页,20260320,具身智能情报前沿｜2026.03.20,4,0.021164
2026-03-20,全部,111,,,,,,,,公众号主页,20260329,具身智能情报前沿｜2026.03.29,4,0.021164
2026-03-21,公众号消息,7,,,,,,,,聊天会话,20260314,具身智能情报前沿｜2026.03.15,3,0.054545
2026-03-21,聊天会话,0,,,,,,,,聊天会话,20260318,具身智能情报前沿｜2026.03.18,3,0.054545
2026-03-21,朋友圈,0,,,,,,,,其他,20260318,具身智能情报前沿｜2026.03.18,3,0.1875
2026-03-21,公众号主页,3,,,,,,,,聊天会话,20260320,具身智能情报前沿｜2026.03.20,3,0.054545
2026-03-21,其他,1,,,,,,,,聊天会话,20260403,具身智能情报前沿｜2026.04.03,3,0.054545
2026-03-21,推荐,69,,,,,,,,公众号主页,20260404,具身智能情报前沿｜2026.04.04,3,0.015873
2026-03-21,搜一搜,8,,,,,,,,公众号消息,20260314,具身智能情报前沿｜2026.03.15,2,0.010526
2026-03-21,全部,86,,,,,,,,聊天会话,20260315,具身智能情报前沿｜2026.03.15,2,0.036364
2026-03-22,公众号消息,5,,,,,,,,公众号消息,20260317,具身智能情报前沿｜2026.03.17,2,0.010526
2026-03-22,聊天会话,7,,,,,,,,公众号消息,20260320,具身智能情报前沿｜2026.03.20,2,0.010526
2026-03-22,朋友圈,0,,,,,,,,其他,20260320,具身智能情报前沿｜2026.03.20,2,0.125
2026-03-22,公众号主页,4,,,,,,,,聊天会话,20260321,具身智能情报前沿｜2026.03.21,2,0.036364
2026-03-22,其他,2,,,,,,,,聊天会话,20260329,具身智能情报前沿｜2026.03.29,2,0.036364
2026-03-22,推荐,55,,,,,,,,聊天会话,20260331,具身智能情报前沿｜2026.03.31,2,0.036364
2026-03-22,搜一搜,6,,,,,,,,其他,20260403,具身智能情报前沿｜2026.04.03,2,0.125
2026-03-22,全部,76,,,,,,,,公众号主页,20260405,具身智能情报前沿｜2026.04.05,2,0.010582
2026-03-23,公众号消息,9,,,,,,,,其他,20260315,具身智能情报前沿｜2026.03.15,1,0.0625
2026-03-23,聊天会话,4,,,,,,,,其他,20260317,具身智能情报前沿｜2026.03.17,1,0.0625
2026-03-23,朋友圈,0,,,,,,,,其他,20260321,具身智能情报前沿｜2026.03.21,1,0.0625
